mol_id,smiles,antibacterial,antifungal,antiviral,not_antibacterial,not_antifungal,not_antiviral
90,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,,,9,,,
91,Nc1nc(N2CC(F)(C3CC3)C2)c2ncn(C3C=CC(CO)C3)c2n1,,,6,,,
92,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,,,4,,,
93,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,,,11,,,
94,Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1,,,15,,,
95,Nc1nc2c(ncn2COC(CO)CO)c(=O)[nH]1,,,8,,,
96,C=C1C(CO)C(O)CC1n1cnc2c(=O)[nH]c(N)nc21,,,7,,,
97,O=c1[nH]cnc2c1ncn2C1CCC(CO)O1,,,15,,,
98,CCC(C)C(NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(Cc1cnc[nH]1)NC(=O)C(NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccc(O)cc1)NC(C)=O)C(C)O)C(C)CC)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CO)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)NC(CCC(N)=O)C(=O)NC(CCC(N)=O)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CC(N)=O)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(N)=O)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(C)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(Cc1ccccc1)C(N)=O,,,6,,,
99,O=c1cc(-c2ccc(O)cc2)oc2cc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c(O)c12,,,1,,,
100,[Cl-].[NH3+]C12CC3CC(CC(C3)C1)C2,,,2,,,
101,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,,,2,,,
102,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,,,1,,,
103,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,,,1,,,
104,COc1cc2oc(-c3ccccc3)cc(=O)c2c(OC)c1OC,,,4,,,
105,CS(=O)(=O)[O-].C[NH+]1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2,,,1,,,
106,C=C(C)C1CCC2(CO)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,,,1,,,
107,C=C(C)C1CCC2(C(=O)O)CCC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,,,5,,,
108,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,,,1,,,
109,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,,,1,,,
110,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21.[Cl-].[H+],,,1,,,
111,Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,,,2,,,
112,COc1cc(-c2oc3cc(OC)c(OC)c(O)c3c(=O)c2OC)ccc1O,,,2,,,
113,COc1cc(-c2oc3cc(OC)c(O)c(O)c3c(=O)c2OC)ccc1O,,,2,,,
114,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21.Cl,,,1,,,
115,COc1ccc2c3c(c4cc(OC)c(OC)cc4c2c1)CC1CCCCN1C3,,,1,,,
116,CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,,2,1,,,
117,COc1cc2cc(Oc3ccc4ccc(=O)oc4c3)c(=O)oc2cc1O,,,1,,,
118,CC1CCC2(OC1)OC1CC3C4CC=C5CC(O)CCC5(C)C4CCC3(C)C1C2C,,,2,,,
119,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,,,2,,,
120,O=C(OC1OC2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)OC2C(OC(=O)c2cc(O)c(O)c(O)c2)C1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,,2,4,,,
121,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,,,1,,,
122,Cl.Cl.OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,,,1,,,
123,CC1OC1P(=O)(O)O.NC(CO)(CO)CO,5,,1,,,
124,O=C1c2ccc(O)cc2OC(c2ccc(O)c(O)c2)C1O,,,1,,,
125,COC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O,,1,2,,,
126,COc1cc(O)c2c(=O)cc(-c3ccc(OC)c(-c4c(O)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)c3)oc2c1,,,4,,,
127,Cc1nccc2c1[nH]c1ccccc12,,,3,,,
128,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,,,1,,,
129,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,,,1,,,
130,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,,,1,,,
131,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1.Cl,,,1,,,
132,OC1C=C2CCN3Cc4cc5c(cc4C(C1O)C23)OCO5,,,2,,,
133,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,,,1,,,
134,Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,,,11,,,
135,CS(=O)(=O)O.Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,,,10,,,
136,NCCC(O)(P(=O)(O)O)P(=O)(O)O,,,1,,,
137,O=C(C=Cc1ccc(O)c(O)c1)OCCc1ccccc1,1,,1,,,
138,CC(CN1c2ccccc2Sc2ccccc21)N(C)C,,,1,,1,
139,CC(CN1c2ccccc2Sc2ccccc21)N(C)C.Cl,,,1,,,
140,Cc1cc(C=Cc2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.Cc1cc(C=Cc2ccc3cc(N(C)C)ccc3[n+]2C)c(C)n1-c1ccccc1.O=C([O-])c1cc2ccccc2c(Cc2c(O)c(C(=O)[O-])cc3ccccc23)c1O,,,1,,,
